condition,algorithm,ae,wur,coverage,cf_transitions
clean,pe_seq,0.39071129587041487,0.44977669442927976,1.0,0.0
clean,cf_only,0.0,0.17630526034292,1.0,387.7111111111111
clean,full_rfl,0.18637461005468725,0.3289332253105172,1.0,94.75555555555556
clean,oracle_upper,0.0,0.17630526034292,1.0,0.0
symmetric,immediate,0.4068770824068849,0.28257365045970856,0.6777777777777778,0.0
symmetric,pe_seq,0.4627512660055192,0.5018843383128052,1.0,0.0
symmetric,cf_only,0.0,0.17630526034292,1.0,387.7111111111111
symmetric,full_rfl,0.2012598684413229,0.331729245972951,1.0,97.4
symmetric,oracle_upper,0.0,0.17630526034292,1.0,0.0
clean,immediate,0.16887903160129908,0.005843799927201204,0.6666666666666666,0.0
clean,pe_seq,0.3889376304154825,0.44747042162065814,1.0,0.0
clean,cf_only,0.0,0.17521288855019393,1.0,388.24444444444447
clean,full_rfl,0.18696418668291379,0.32797285321706005,1.0,94.58888888888889
clean,oracle_upper,0.0,0.17521288855019393,1.0,0.0
symmetric,immediate,0.5166460460913831,0.38967177504443984,0.6444444444444445,0.0
symmetric,pe_seq,0.44722910664143406,0.49540905931734225,1.0,0.0
symmetric,cf_only,0.0,0.17521288855019393,1.0,388.24444444444447
symmetric,full_rfl,0.19604219494758077,0.32370558800095345,1.0,92.28888888888889
symmetric,oracle_upper,0.0,0.17521288855019393,1.0,0.0
clean,immediate,0.16953748015036574,0.006829737718663203,0.6666666666666666,0.0
clean,pe_seq,0.38889136975499555,0.4479041916932406,1.0,0.0
clean,cf_only,0.0,0.17646500852990918,1.0,387.65555555555557
clean,full_rfl,0.18657216736122045,0.32507244458038725,1.0,91.47777777777777
clean,oracle_upper,0.0,0.17646500852990918,1.0,0.0
symmetric,immediate,0.3847634815851421,0.2987813694334506,0.7333333333333333,0.0
symmetric,pe_seq,0.4553469003781513,0.4980308238456491,1.0,0.0
symmetric,cf_only,0.0,0.17646500852990918,1.0,387.65555555555557
symmetric,full_rfl,0.19327706725666954,0.31964929797879227,1.0,87.73333333333333
symmetric,oracle_upper,0.0,0.17646500852990918,1.0,0.0
clean,immediate,0.16943377459860842,0.006756602532562872,0.6666666666666666,0.0
clean,pe_seq,0.3904972839216546,0.4492148517638212,1.0,0.0
clean,cf_only,0.0,0.17635079899053896,1.0,386.84444444444443
clean,full_rfl,0.18565500110064118,0.3228717394401266,1.0,90.77777777777777
clean,oracle_upper,0.0,0.17635079899053896,1.0,0.0
symmetric,immediate,0.5329820905322328,0.42013346477655206,0.6111111111111112,0.0
symmetric,pe_seq,0.45616045322870635,0.4989614083911328,1.0,0.0
symmetric,cf_only,0.0,0.17635079899053896,1.0,386.84444444444443
symmetric,full_rfl,0.19869622477045498,0.32346427862216165,1.0,90.52222222222223
symmetric,oracle_upper,0.0,0.17635079899053896,1.0,0.0
clean,immediate,0.1690666378887299,0.00620763249988307,0.6666666666666666,0.0
clean,pe_seq,0.3890452008683306,0.4473489287390071,1.0,0.0
clean,cf_only,0.0,0.17575394753758364,1.0,388.3666666666667
clean,full_rfl,0.18621671406305546,0.3266069702074639,1.0,92.76666666666667
clean,oracle_upper,0.0,0.17575394753758364,1.0,0.0
symmetric,immediate,0.5613139897132111,0.4666101682216646,0.6222222222222222,0.0
symmetric,pe_seq,0.4811079573301731,0.5262572182988084,1.0,0.0
symmetric,cf_only,0.0,0.17575394753758364,1.0,388.3666666666667
symmetric,full_rfl,0.1981398650412665,0.3249576534821857,1.0,92.67777777777778
symmetric,oracle_upper,0.0,0.17575394753758364,1.0,0.0
clean,immediate,0.1706378176118942,0.008481978943093871,0.6666666666666666,0.0
clean,pe_seq,0.38986459706546933,0.45074740675003067,1.0,0.0
clean,cf_only,0.0,0.17804678672704305,1.0,387.74444444444447
clean,full_rfl,0.18624464768727358,0.3302101607811742,1.0,94.33333333333333
